LAB_ID,X,Y,Bulk_density,Carbon,Clay,Sand
CT258-6711,714875,72875,1.454267516,2.472,43.54774271,40.47143428
CT258-6697,713625,73125,1.171974522,2.298,51.57936825,32.42702919
CT258-6797,706625,73375,1.398216561,1.51,35.931255,54.07673861
CT258-6783,708125,73375,1.365605096,1.559,27.40711147,62.60487415
CT258-6771,709375,73375,1.51133758,1.645,35.93843694,58.0651609
CT258-6699,711125,73375,1.068025478,1.722,33.57314149,56.43485212
CT258-6979,715625,73375,7.416050955,1.651,44.45775914,49.55062912
CT258-6833,715875,73375,1.076178344,2.156,38.32933653,40.04796163
CT258-6801,705625,73625,1.389044586,0.878,17.93489115,68.08468145
CT258-7007,707375,73625,1.122038217,1.568,28.50289826,65.50069958
CT258-7009,707375,73625,1.260636943,1.219,32.5134973,61.48770246
CT258-7015,707625,73625,1.184203822,1.408,30.70771691,61.65533786
CT258-6701,712625,73625,1.408407643,1.512,33.57985209,56.42614431
CT258-7013,707125,73875,1.165859873,0.997,14.50259688,59.52856572
CT258-7005,707375,73875,1.398216561,1.389,30.50779688,61.49540184
CT258-7011,707625,73875,1.247388535,2.101,40.51189762,55.48890222
CT258-7019,707625,73875,1.323821656,1.222,37.93723766,54.06755946
CT258-7017,707875,73875,1.14955414,1.151,31.92169397,62.0854974
CT258-7021,707875,73875,1.322802548,1.087,29.94802079,64.05437825
CT258-7023,707875,73875,1.375796178,1.153,23.94563262,70.05796522
CT258-6849,709375,73875,1.588789809,1.784,24.30541675,65.70057965
CT258-6727,710375,73875,1.41656051,1.067,27.6,66.4
CT258-6679,714875,73875,1.154649682,1.969,33.53962867,56.47833899
CT258-6987,716875,73875,1.129171975,1.927,46.50139944,35.50579768
CT258-6827,708375,74125,1.233121019,1.236,36.26198083,53.75399361
CT258-6955,714125,74125,1.453248408,1.363,31.96,64.04
CT258-6659,715875,74125,1.494012739,1.253,41.55844156,54.44555445
CT258-6981,716125,74125,1.347261147,1.498,34.49930042,61.50309814
CT258-6649,716875,74125,1.042547771,2.079,43.56514788,36.45083933
CT258-6965,705875,74375,1.571464968,0.979,27.96,64.04
CT258-6803,706875,74375,1.110828025,1.894,27.42354587,52.58844693
CT258-6971,708375,74375,1.198471338,1.43,25.96,64.04
CT258-6739,711875,74375,1.376815287,2.338,37.56243756,48.45154845
CT258-6901,714875,74375,1.205605096,1.496,19.98001998,72.74725275
CT258-6799,705125,74625,0.807133758,4.548,23.41658342,48.61138861
CT258-6985,709375,74625,1.387006369,1.271,26.50409754,69.49830102
CT258-6741,709625,74625,1.449171975,1.875,27.98880448,66.01359456
CT258-6883,710625,74625,1.40433121,1.711,15.99680064,72.72545491
CT258-6749,712875,74625,1.18522293,1.709,41.92453584,52.08624476
CT258-6721,713875,74625,1.418598726,1.522,43.6,50.4
CT258-6989,705125,74875,1.009936306,3.116,32.48102277,35.5573312
CT258-6795,707625,74875,1.241273885,2.24,27.93764988,56.07513989
CT258-6781,708625,74875,1.445095541,0.854,27.91533546,66.0942492
CT258-6683,715125,74875,1.176050955,1.843,49.59008198,36.41271746
CT258-6835,716125,74875,1.260636943,1.279,28.32,67.68
CT258-6639,717625,74875,0.987515924,4.106,35.41874875,41.31521087
CT258-6789,705875,75125,1.20866242,1.026,21.95121951,68.05277889
CT258-6747,711125,75125,1.260636943,1.35,27.5669197,64.4426688
CT258-6831,712125,75125,1.198471338,1.581,14.3542583,72.01119552
CT258-6887,715875,75125,1.132229299,2.095,19.96,68.04
CT258-6651,716625,75125,1.28611465,1.473,23.43062775,69.29228309
CT258-6841,716875,75125,0.957961783,4.622,36.34546182,40.0239904
CT258-6893,706625,75375,1.033375796,1.814,23.94563262,58.0651609
CT258-6829,709125,75375,1.221910828,1.269,28.30867653,55.69772091
CT258-6975,711125,75375,1.08433121,1.444,26.48292391,65.52826044
CT258-6967,712625,75375,1.139363057,1.484,29.93006993,62.07792208
CT258-6757,713375,75375,1.301401274,1.728,43.58256697,50.41983207
CT258-7001,713375,75375,1.188280255,2.02,50.52,41.48
CT258-6865,714375,75375,1.227006369,2.149,24.2859996,59.73636908
CT258-6885,716625,75375,1.30343949,1.225,27.95440912,66.04679064
CT258-6871,705125,75625,1.070063694,2.424,35.98560576,32.74690124
CT258-6899,707875,75625,1.287133758,0.759,21.94244604,72.06235012
CT258-6793,710125,75625,1.521528662,1.054,9.428685577,72.59288853
CT258-6867,710125,75625,1.407388535,1.55,25.96365089,62.77211903
CT258-6909,713125,75625,1.371719745,1.907,35.91689972,56.09268877
CT258-6943,715375,75625,1.391082803,0.942,12.71491403,81.64734106
CT258-6977,717125,75625,1.230063694,1.422,34.51309738,59.48810238
CT258-6927,717375,75625,0.83566879,5.208,37.96,34.04
CT258-6635,718375,75625,0.956942675,2.261,29.44,51.28
CT258-6791,707125,75875,1.215796178,1.052,21.41858142,68.59140859
CT258-6813,711125,75875,1.165859873,1.008,14.32,71.68
CT258-6709,715375,75875,1.292229299,1.019,31.56843157,62.43756244
CT258-6663,717375,75875,1.20866242,1.143,27.58344993,64.42134719
CT258-6951,718125,75875,1.050700637,2.646,35.90255591,42.13258786
CT258-6767,705875,76125,1.169936306,1.875,21.41858142,62.5974026
CT258-6869,708625,76125,1.243312102,1.175,20.2997003,71.70829171
CT258-6787,712375,76125,1.335031847,0.65,13.95720856,78.04439112
CT258-6731,714375,76125,1.360509554,0.935,23.57171394,70.43547743
CT258-6677,716375,76125,1.349299363,0.914,29.57042957,64.43556444
CT258-6907,716625,76125,1.114904459,1.692,27.94323406,66.06036378
CT258-6935,717625,76125,1.277961783,1.725,35.94562175,54.05837665
CT258-6933,718125,76125,1.005859873,3.496,33.93285372,48.08153477
CT258-6631,719125,76125,1.105732484,3.565,31.58105137,48.43094144
CT258-6625,720125,76125,0.929426752,2.267,39.6,36.4
CT258-6763,708125,76375,1.175031847,1.762,31.94722111,56.05757697
CT258-6755,709375,76375,1.363566879,1.097,27.5944811,66.40671866
CT258-6947,711625,76375,1.20866242,0.931,20.69103255,73.67685241
CT258-6931,717875,76375,1.136305732,1.579,26.6826443,61.69362892
CT258-6823,718125,76375,1.01910828,4.318,32.31353729,51.68966207
CT258-6959,720125,76375,0.850955414,2.942,38.71225755,39.65206959
CT258-6973,709875,76625,1.481783439,1.037,18.71625675,73.64527095
CT258-6861,710625,76625,1.167898089,1.838,15.98082301,70.75509389
CT258-6855,713375,76625,1.067006369,2.108,21.97363164,56.77187375
CT258-6825,717125,76625,1.102675159,1.113,14.31141315,71.69698181
CT258-6655,718125,76625,1.190318471,1.286,23.44,69.28
CT258-6941,718625,76625,1.007898089,3.101,27.94323406,54.06755946
CT258-6759,706625,76875,1.306496815,1.161,29.96404315,60.04794247
CT258-6753,711375,76875,1.479745223,1.094,25.58464921,68.41894863
CT258-6945,713875,76875,1.529681529,1.433,35.90255591,60.10383387
CT258-6863,716125,76875,1.270828025,0.959,14.31713657,79.68406319
CT258-6999,718875,76875,0.941656051,5.241,34.70611755,41.66333467
CT258-6765,710125,77125,1.270828025,2.769,26,56
CT258-6775,712875,77125,1.488917197,1.085,23.44,68.56
CT258-6785,714375,77125,1.451210191,1.578,23.41190571,68.59768278
CT258-6845,717625,77125,1.481783439,1.394,23.98081535,62.74980016
CT258-6897,718625,77125,1.150573248,1.827,33.96,56.04
