FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
100000-9,BUPANDAGILA - SDA,-2.64496,34.01009,Western,Simiyu,Bariadi Town Council,,1298,Dispensary,Faith based organization,Operating
100001-7,BUPANDWAMHELA,-2.44682,32.1526,Lake,Mwanza,Sengerema District Council,Zahanati,1171,Dispensary,Public,Operating
100002-5,BUPIGI,-3.55117,33.69935,Western,Shinyanga,Kishapu District Council,Bupigi,1175,Dispensary,Public,Operating
100003-3,BUPIGU,-9.50139,33.3476,Southern Highlands,Mbeya,Ileje District Council,,1234,Dispensary,Public,Operating
100004-1,BUPU,-7.19919,39.0225,Eastern,Pwani,Mkuranga District Council,,143,Dispensary,Public,Operating
100005-8,BURERE,-1.30831,33.964,Lake,Mara,Rorya District Council,,3899,Dispensary,Faith based organization,Operating
100006-6,BURERE,-6.76108,38.92455,Eastern,Pwani,Kibaha Town Council,Kwa Bake,172,Health Centre,Private,Operating
100009-0,BURHAN STR. 4,-5.0761,39.1007,Northern,Tanga,Tanga City Council,Burhani,27,Dispensary,Faith based organization,Operating
100010-8,BURHANI CHARITABLE,-6.818845,39.285851,Eastern,Dar es Salaam,Ilala Municipal Council,Hospitali ya Burhani,15,Health Centre,Faith based organization,Operating
100011-6,BURIGI,-2.12365,31.4234,Lake,Kagera,Muleba District Council,Burigi Dispensary,1222,Dispensary,Public,Operating
100012-4,BURITO,-1.845858,34.676955,Lake,Mara,Serengeti District Council,Burito Dispensary,1617,Dispensary,Private,Operating
100014-0,BURMA,-11.16848,34.91393,Southern,Ruvuma,Mbinga District Council,Buruma Dispensary,1458,Dispensary,Public,Operating
100015-7,BURUMA,-1.67623,33.83745,Lake,Mara,Butiama District Council,Buruma,1285,Dispensary,Public,Operating
100017-3,202 KJ,-5.05716,32.82869,Western,Tabora,Tabora Municipal Council,,,Dispensary,Public,Operating
100019-9,511 KJ GONGO LA MBOTO,-6.88878,39.15133,Eastern,Dar es Salaam,Ilala Municipal Council,Hospitali ya jeshi,104,Dispensary,Public,Operating
100020-7,512 KJ,-2.58227,32.91911,Lake,Mwanza,Nyamagana Municipal Council,MTC 512 KJ,1193,Dispensary,Public,Operating
100021-5,514 KJ,,,Southern Highlands,Njombe,Makambako Town Council,Zahanati ya Jeshi,,Dispensary,Public,Operating
100022-3,663 KJ,,,Lake,Mwanza,Ilemela Municipal Council,,,Dispensary,Public,Operating
100024-9,A AND A,-8.67632,34.304,Southern Highlands,Mbeya,Mbarali District Council,Kwa Kasela,1060,Dispensary,Private,Operating
100025-6,AA&B,-6.800753,39.27466,Eastern,Dar es Salaam,Ilala Municipal Council,AAB & R,,Clinic,Private,Operating
100026-4,APOSTLES OF JESUS NJIA,,,Eastern,Dar es Salaam,Ilala Municipal Council,A.J.Njia Health Centre,70,Health Centre,Faith based organization,Operating
100029-8,AAR,-3.37317,36.7018,Northern,Arusha,Arusha City Council,,,Health Centre,Private,Operating
100030-6,AAR,-6.81643,39.2856,Eastern,Dar es Salaam,Ilala Municipal Council,AAR,,Health Centre,Private,Operating
100031-4,AAR,-6.77726,39.26071,Eastern,Dar es Salaam,Kinondoni Municipal Council,AAR Chato,19,Health Centre,Private,Operating
100032-2,HEALTH HOME CHARITABLE,-6.81768,39.2766,Eastern,Dar es Salaam,Ilala Municipal Council,AB DSM,26,Dispensary,Private,Operating
